Total CPU Power,FilterTag_power_results.gsheet,Sem rodar nada
Total CPU Power :,20.910804926180443,12.1974343274224
Total CPU Power :,24.542256588428586,11.22912132682344
Total CPU Power :,20.87566644856355,11.552434330930085
Total CPU Power :,23.07538190907161,11.825500296987514
Total CPU Power :,25.383890803126867,11.726593159037273
Total CPU Power :,24.01817053164837,11.555149943288956
Total CPU Power :,24.649261936249367,11.573716916581981
Total CPU Power :,23.99250282469519,11.553553454338381
Total CPU Power :,24.639733865870603,12.039795863214179
Total CPU Power :,23.277133670042932,11.992849301900637
Total CPU Power :,24.002260804808433,11.734594028307633
Total CPU Power :,22.209215279241956,11.392689894131891
Total CPU Power :,24.612977162966523,11.576748576178751
Total CPU Power :,25.513924468203466,11.458653250460532
Total CPU Power :,22.308754171851007,11.723019510143887
Total CPU Power :,24.38977794832979,11.401192850467368
Total CPU Power :,24.242090492752414,11.734343192575821
Total CPU Power :,24.646244400496585,11.561664598964219
Total CPU Power :,23.290302983537764,11.395699972748645
Total CPU Power :,24.34319801828724,11.75379126038363
Total CPU Power :,23.80051349760767,11.20717667312814
Total CPU Power :,24.249584069872064,11.566037191082785
Total CPU Power :,23.878220812231312,11.60192307950608
Total CPU Power :,22.219441041173045,11.760588329971199
Total CPU Power :,23.818913261392936,11.811848278924243
Total CPU Power :,24.526637779394683,11.151962196921266
Total CPU Power :,24.369868459301905,11.501835662165949
Total CPU Power :,23.026830101320005,11.377177439559336
Total CPU Power :,24.937016774120995,11.514173941544122
Total CPU Power :,23.43534401440436,11.50255418999228
Total CPU Power :,24.547879175869046,11.49472638484155
Total CPU Power :,22.929015288739336,11.66670101725386
Total CPU Power :,23.541806862130468,11.327677944444389
Total CPU Power :,23.578552865720084,11.541393583935383
Total CPU Power :,24.59125553312329,11.501322974486595
Total CPU Power :,25.160468708124043,11.506539034256672
Total CPU Power :,20.100934029536734,11.667034265412706
Total CPU Power :,24.232424673870092,11.327902220993375
Total CPU Power :,22.435136271623488,11.367638887781887
Total CPU Power :,24.149655036976878,10.805150465548694
Total CPU Power :,25.21171352663895,11.674061865120166
Total CPU Power :,21.394244560288268,11.500029495781758
Total CPU Power :,24.074195188805575,11.490371250496265
Total CPU Power :,24.607387409313056,11.511658777981083
Total CPU Power :,24.441708507332354,11.49080650109839
Total CPU Power :,23.042852631958418,11.357878079078501
