Total CPU Power,LoginAndDeleteComment_power_results.gsheet,Sem rodar nada
Total CPU Power :,23.266418321524277,12.548732311514891
Total CPU Power :,24.210073111480607,11.94292404022675
Total CPU Power :,22.93582215819641,11.970905475193488
Total CPU Power :,23.63801082449532,11.780169142514065
Total CPU Power :,25.17763328173372,11.724934953046807
Total CPU Power :,20.848237821253306,11.765320555636205
Total CPU Power :,23.800955395099248,11.589703190013344
Total CPU Power :,24.613923992511825,11.5751606109953
Total CPU Power :,24.460076115416364,11.78531398256427
Total CPU Power :,24.930066292445225,11.960406752606982
Total CPU Power :,22.88494848821152,11.533423042926387
Total CPU Power :,23.108889520374607,11.713894335321775
Total CPU Power :,24.9692311438836,11.958951011457408
Total CPU Power :,24.248114593026187,11.913338938680548
Total CPU Power :,24.936326612891747,11.893175660998729
Total CPU Power :,22.125255134800888,11.997336426671145
Total CPU Power :,23.615228484701042,11.56573716620203
Total CPU Power :,24.491870071000303,11.735646632236303
Total CPU Power :,23.29225796905918,11.780413645623543
Total CPU Power :,24.762851483244436,11.223952943968108
Total CPU Power :,25.06790343244788,11.774039106954293
Total CPU Power :,20.98428104932615,11.610468525264492
Total CPU Power :,23.96889777406367,11.36372001854081
Total CPU Power :,24.22979460591161,11.636271578006497
Total CPU Power :,25.124575069980814,11.510265325196743
Total CPU Power :,25.604196525913064,11.47904473688121
Total CPU Power :,20.96396051605484,11.26213436695049
Total CPU Power :,24.039815114188727,11.16032497348629
Total CPU Power :,24.673288586890187,11.820845034708752
Total CPU Power :,24.546804080427325,11.65455679735706
Total CPU Power :,24.99814215648872,11.530969579569351
Total CPU Power :,21.9133904819562,10.935707730084786
Total CPU Power :,23.15424623941213,11.156100091927172
Total CPU Power :,24.929395213109014,11.808122750696148
Total CPU Power :,23.826723568018444,11.275408286187362
Total CPU Power :,25.0777448815247,11.318396519282377
Total CPU Power :,23.598542065210946,11.444237248500404
Total CPU Power :,22.250485601138827,11.604529613220894
Total CPU Power :,24.08460481034021,11.449360741166817
Total CPU Power :,23.727946616316395,11.450437398050616
Total CPU Power :,24.905413987752514,11.619832231902967
Total CPU Power :,25.43686923009705,11.086227823391413
Total CPU Power :,21.64392191387825,11.623991560691877
Total CPU Power :,22.864872128623485,11.435423017376083
Total CPU Power :,24.278793593172384,11.623576258955122
Total CPU Power :,25.137156529000972,11.3693213086181
Total CPU Power :,24.716243835106987,11.458443769737185
Total CPU Power :,21.826259568652866,11.444342211640377
Total CPU Power :,22.881918965600804,11.798488169011158
Total CPU Power :,24.88086514056002,11.782686449071877
Total CPU Power :,24.12007838406283,10.922300721817013
Total CPU Power :,24.958604755328842,11.111068959609629
Total CPU Power :,21.751700294390464,11.246562747075428
Total CPU Power :,22.401057426872402,10.513344893962504
