Total CPU Power,LoginCreateArticleAndComment_power_results.gsheet,Sem rodar nada
Total CPU Power :,20.981543409964242,12.685312441840258
Total CPU Power :,24.156415449789666,11.966346717504967
Total CPU Power :,23.88685609691425,11.925995315228507
Total CPU Power :,24.712273030842294,11.931425635566413
Total CPU Power :,25.580970850904226,11.935573765772663
Total CPU Power :,19.81180743353179,11.894234956915687
Total CPU Power :,15.197159773072936,11.750864575686691
Total CPU Power :,14.832942928482135,11.934776823293037
Total CPU Power :,15.756963222989691,11.904603631939965
Total CPU Power :,16.426279450000894,11.76535399727781
Total CPU Power :,23.967960242650758,11.748697860315797
Total CPU Power :,23.79904781985295,11.919947461808245
Total CPU Power :,23.49731424562771,11.914229828758785
Total CPU Power :,24.70415402568864,11.899233117887075
Total CPU Power :,25.677181203151772,11.924303861365663
Total CPU Power :,19.74703284814112,11.956836413069915
Total CPU Power :,15.249590668140709,11.945142979026945
Total CPU Power :,14.823589867764632,11.729222426063261
Total CPU Power :,14.963897811100932,11.777983638403137
Total CPU Power :,16.19659843257937,11.970163107502803
Total CPU Power :,24.177788013770723,11.907036272434793
Total CPU Power :,23.964198404586224,11.626798042453553
Total CPU Power :,23.176499403650446,11.701399653913452
Total CPU Power :,24.763870288261888,11.793953613983348
Total CPU Power :,24.555798594071874,11.627575738059198
Total CPU Power :,19.388607965063525,11.62701722816063
Total CPU Power :,15.407661315143303,11.665457026715359
Total CPU Power :,14.69655848951663,11.840778073623055
Total CPU Power :,15.420413686482737,11.807531489593613
Total CPU Power :,16.08203989637397,11.777961860976674
Total CPU Power :,23.88618119979902,11.650135936242183
Total CPU Power :,23.98192465073198,11.168515308284363
Total CPU Power :,23.323608334478447,11.445388507293393
Total CPU Power :,24.940846241675743,11.7775050030524
Total CPU Power :,24.04950505355782,11.79410319577009
Total CPU Power :,20.06575694110975,11.42925531884905
Total CPU Power :,15.214642227821866,11.628930658786716
Total CPU Power :,14.864073932751264,11.625136646900117
Total CPU Power :,14.992369745231295,11.436402148131853
Total CPU Power :,16.24518059696017,11.61664098850623
Total CPU Power :,24.00228049027718,11.62015495767085
Total CPU Power :,23.789497961923722,11.637351622234872
Total CPU Power :,23.609445483052355,11.782268033567194
Total CPU Power :,24.64553551685695,11.615598610160161
Total CPU Power :,25.19181604924519,11.43719233118419
Total CPU Power :,20.252198050470007,11.636586557642408
Total CPU Power :,15.189494114079846,11.633557996443777
Total CPU Power :,14.771370230638718,11.622575386094157
Total CPU Power :,15.007552932236926,11.790008857633735
Total CPU Power :,16.314457479777058,11.618143784276208
Total CPU Power :,24.076994223953367,11.629562603473373
Total CPU Power :,23.69859494524799,11.463094496057138
Total CPU Power :,23.350351194427688,11.617517403185198
Total CPU Power :,24.872376025728528,11.769911143161286
Total CPU Power :,25.840024164853133,11.282377297197566
Total CPU Power :,19.84971590475588,11.786225536253243
Total CPU Power :,15.309717268085345,11.639544153088163
Total CPU Power :,14.701232371267485,11.452600715526675
Total CPU Power :,14.814042037326704,11.788043775018464
Total CPU Power :,16.0619773098237,12.125265838556713
Total CPU Power :,23.85936506300668,11.696003546308312
Total CPU Power :,23.82734696980311,11.560031119934907
Total CPU Power :,23.395007991459526,11.467303945684478
Total CPU Power :,24.874781319144724,11.439064114651995
Total CPU Power :,25.429140473892105,11.470548576076478
Total CPU Power :,19.120564738085605,11.254333014028743
Total CPU Power :,15.069810934624323,11.768958752137861
Total CPU Power :,14.704085057296338,11.602338628519556
Total CPU Power :,15.02074707638834,11.267556227121752
Total CPU Power :,16.178926019102075,11.432866032123918
Total CPU Power :,24.9921360335847,11.438566328768763
Total CPU Power :,24.353500732643525,11.622220967368628
Total CPU Power :,23.27369413199487,11.260373377885024
Total CPU Power :,24.554707738239745,11.624740019569911
Total CPU Power :,24.78874502360182,11.593739392953049
Total CPU Power :,18.654294696547804,11.603960097326835
Total CPU Power :,15.175136224262504,11.595313638256275
Total CPU Power :,14.699229734571379,11.569303350236048
Total CPU Power :,15.161402854079965,11.765864747165889
Total CPU Power :,16.55659421734054,11.773572826083356
Total CPU Power :,24.495767650991386,11.628771116283206
Total CPU Power :,24.407838546245955,11.61665401426721
Total CPU Power :,23.331746718507322,11.757741945005607
Total CPU Power :,24.67282109901,11.588857782733568
Total CPU Power :,25.21353161900746,11.589644569636755
Total CPU Power :,17.8275761840145,11.590812759712003
Total CPU Power :,15.038573352387223,11.460879746743197
Total CPU Power :,14.626222630290254,10.901721406132145
Total CPU Power :,15.094777445402942,11.598973274933817
Total CPU Power :,17.85696564637442,11.429885359283633
Total CPU Power :,23.622736640240497,11.287620409575247
Total CPU Power :,24.74763095486909,11.489707519878676
Total CPU Power :,23.815087349132092,11.586143165025527
Total CPU Power :,24.606311115005596,11.585728330499483
Total CPU Power :,23.769489266212656,11.278872010120502
Total CPU Power :,17.42615556597146,11.40626422408866
Total CPU Power :,15.076350609930465,11.44217475072674
Total CPU Power :,14.709910566123934,10.924656533789639
Total CPU Power :,15.451961016800212,11.432170992071537
Total CPU Power :,18.779586675301037,11.451582825012474
Total CPU Power :,22.748722098562403,10.789904224917864
