diretório,emissões_kg,tempo_segundos,energia_kWh,co2eq_por_segundo,co2eq_por_ano,media_cpu_power,mediana_cpu_power
LoginCreateAndDeleteComment,9.097940545112184e-05,126.02442741394043,0.000925,0.000713,22.47534666807339,23.56728080762827,24.372164077912466
updateProfile,7.564459887781878e-05,112.39752626419067,0.000769,0.000656,20.694021034404006,,
singUpAndLogin,8.113148694744643e-05,116.92040991783142,0.000825,0.000709,22.351067174279613,,
CreateComment,7.976625997540893e-05,108.03023219108582,0.000811,0.000755,23.809183485173694,,
createArticle,0.00010962984498492112,174.99789810180664,0.001115,0.000608,19.187921794378294,,
updateArticle,7.690913460350227e-05,111.54143738746643,0.000782,0.000675,21.28570631732164,,
singUp,7.458109061361875e-05,108.05018734931946,0.000758,0.000716,22.576475255689346,,
logIn,6.945870252269654e-05,95.8732054233551,0.000706,0.000727,22.92573111601499,,
loginAndLogout,7.302283557017056e-05,103.2594165802002,0.000742,0.000705,22.224254614902655,23.01659163086301,23.593460164493948
deleteComment,7.065222573729398e-05,94.98662090301514,0.000718,0.000751,23.680007497035724,24.38177995138861,24.601689308502877
favoriteAndUnfavoriteArticle,7.302725081638142e-05,97.97748923301697,0.000743,0.000745,23.490574700786787,24.424747653279443,24.43091374841167
createAndDeleteComment,7.735449513520227e-05,104.84176349639893,0.000787,0.000746,23.527669272034615,24.17352983629941,24.283377918931997
FilterTag,6.655562055796472e-05,91.64504051208496,0.000677,0.000719,22.683881817408142,23.72228585467873,24.04618286022697
logout,6.849233362780607e-05,94.68349719047546,0.000696,0.00072,22.7193793060744,23.4836303021914,23.96811131000682
deleteArticle,7.186505971986346e-05,95.78327703475952,0.000731,0.000755,23.800903008253695,24.614905950632888,24.590429415915104
LoginInvalidPassword,6.964838520812135e-05,95.99704909324646,0.000708,0.000726,22.884647872807946,23.704082864082295,24.049469390783962
loginInvalidEmail,6.722860024370271e-05,94.42705345153809,0.000684,0.000712,22.448067567841406,23.18241807641678,23.4438161092454
creatAndDeleteArticle,0.00011108618922684387,177.47426056861877,0.00113,0.000621,19.569325037983216,20.05861777510757,21.614216776719804
loginFiltertagAndComment,8.480948597323155e-05,117.02767729759216,0.000862,0.000733,23.120853543556446,23.68106322663101,23.91798153117737
loginCreateComment,8.74484134093865e-05,119.20787191390991,0.000889,0.000742,23.39555714123317,24.007462194721196,24.445998634050635
LoginCreateArticleAndComment,0.00012709386330872447,201.528911113739,0.001292,0.000662,20.87142365967538,20.232918389369384,20.98154340996424
singUpLoginAndLogout,2.1452770896234796e-06,129.94259810447693,0.000902,1.6e-05,0.5138741734822773,22.13952549791577,23.47488297694379
loadPages,5.902309966414206e-05,78.85114073753357,0.0006,0.00073,23.013815849043088,24.518076515433215,24.215207550628712
LoginAndDeleteComment,7.842864087985991e-05,107.69432592391968,0.000797,0.00073,23.01204174208508,23.79416083254018,24.10234159720152
loginAndDeleteArticle,7.781314047887862e-05,106.73694109916687,0.000791,0.000725,22.857098895143743,23.87383341376864,24.1469550534507
loginCreateAndDeleteArticle,0.0001202375881339166,189.65129017829895,0.001223,0.000607,19.156203631764654,20.35027562147894,21.693031210078495
loginAndCreateArticle,0.00011646106126070724,187.57387280464172,0.001184,0.00061,19.252109796659873,19.870607962904604,20.938792628068825
loadPageAndWait,3.4897883394870867e-05,70.51635694503784,0.000355,0.000448,14.116468466386447,15.300842562944915,13.564708770490196
CreateAndCommentArticle,0.0001214952235317377,204.73758363723755,0.001235,0.000612,19.312811357408087,18.91178809488971,19.21276983294713
loginCreateAndUpdateArticle,0.00013642554700605205,236.11942672729492,0.001387,0.000638,20.117110767495696,18.296566600501123,17.768126615908557
loginAndUpdateProfile,8.521191783595513e-05,122.10107016563416,0.000866,0.000682,21.52073525237365,22.7204941303191,24.2082888187984
createAndUpdateArticle,0.0001285247645964832,221.9705159664154,0.001307,0.000616,19.44095523629352,18.336719390808632,17.54570527221973
