Total CPU Power,createAndUpdateArticle_power_results.gsheet,Sem rodar nada
Total CPU Power :,21.983586462053065,12.399439630972937
Total CPU Power :,24.01380650176272,11.912099221308795
Total CPU Power :,19.85879767693854,11.899417215687235
Total CPU Power :,25.459106952393658,11.92072100154243
Total CPU Power :,29.815444664406186,11.891182812074131
Total CPU Power :,22.384767704105702,11.89608807889149
Total CPU Power :,13.015683567027237,11.933242183258747
Total CPU Power :,12.912270754883568,11.88256301647533
Total CPU Power :,13.303839705362087,11.896137563520854
Total CPU Power :,13.659986303607099,11.907026588790353
Total CPU Power :,18.560685888449658,11.896033065695159
Total CPU Power :,16.27952106496807,11.891713899670124
Total CPU Power :,21.87128630230225,11.909981911115477
Total CPU Power :,23.90995059927644,11.892015907040468
Total CPU Power :,25.034289062309117,11.921625065558272
Total CPU Power :,24.661493214308543,11.923053414619968
Total CPU Power :,18.644898384719284,11.922843176313245
Total CPU Power :,13.513845116240418,11.886290551838153
Total CPU Power :,12.928167047793224,11.910323521220644
Total CPU Power :,12.874963285409223,11.882654758595413
Total CPU Power :,13.360914340133178,11.878064916016896
Total CPU Power :,17.563026725505573,11.91360623803308
Total CPU Power :,15.934557455711081,12.150153723604301
Total CPU Power :,23.267951470359748,12.069808976316079
Total CPU Power :,23.32020670003925,11.824708784388125
Total CPU Power :,25.000780118134465,11.83046191264666
Total CPU Power :,25.733506918792216,11.835525161270844
Total CPU Power :,16.82921874677964,11.867380841419731
Total CPU Power :,13.210288490340636,11.814626559131165
Total CPU Power :,13.010228388359831,11.646689290583286
Total CPU Power :,13.203932772678208,11.821964059956782
Total CPU Power :,13.689335607403773,11.821034819033331
Total CPU Power :,17.532413205006108,11.652631495299202
Total CPU Power :,16.791694222557624,11.811966978724405
Total CPU Power :,23.962030027330957,11.818300642192654
Total CPU Power :,23.34181053489694,11.810753447798422
Total CPU Power :,24.542240710648148,11.834219077472076
Total CPU Power :,25.082918542634093,11.810512440805978
Total CPU Power :,16.269647800247856,11.806053716609954
Total CPU Power :,13.099812840910221,11.804902297587791
Total CPU Power :,12.881726827459849,11.81863208174155
Total CPU Power :,12.82974091297676,11.634984553701864
Total CPU Power :,13.56979366182709,11.638526471492218
Total CPU Power :,18.01479368238005,11.81367441467489
Total CPU Power :,17.273960856005957,12.256181483999649
Total CPU Power :,24.000910763069403,11.81089284511632
Total CPU Power :,23.05242827298125,12.04933561982556
Total CPU Power :,24.71792814499577,11.827276841460511
Total CPU Power :,24.198182273256098,11.648017709872448
Total CPU Power :,15.809301285605333,12.343194661725756
Total CPU Power :,13.146714572046372,11.810036492421409
Total CPU Power :,12.85455598076311,11.324425924576307
Total CPU Power :,12.817679617556717,11.640255468999355
