Total CPU Power,codeCarbon_time_log_20250209_230541.txt,Sem rodar nada
Total CPU Power :,19.85978438232677,12.733205154010626
Total CPU Power :,24.449079287934484,11.962447245984317
Total CPU Power :,21.513937298426715,12.11909528077079
Total CPU Power :,23.50655514113347,12.070986862200533
Total CPU Power :,25.397126783922666,11.972673438122666
Total CPU Power :,19.280171081563964,11.968752869081483
Total CPU Power :,15.213052394826933,11.64297493790838
Total CPU Power :,14.840308622834216,11.796953749267825
Total CPU Power :,15.520414393326686,11.98680960922767
Total CPU Power :,20.432080493604055,11.927198032585506
Total CPU Power :,24.16042485239728,11.769678594523253
Total CPU Power :,23.412549073740845,11.947319818621708
Total CPU Power :,24.83777107423667,11.933231966430702
Total CPU Power :,25.190109985338037,11.806584511652165
Total CPU Power :,17.803585838930484,12.01218614076576
Total CPU Power :,15.435097060308356,11.799429966665329
Total CPU Power :,14.746005661097847,11.494287884103468
Total CPU Power :,15.086416566946514,11.991457859765852
Total CPU Power :,22.23536371932073,11.785378785270115
Total CPU Power :,24.831420995735908,11.826599887418855
Total CPU Power :,24.048664039367367,11.793699056760017
Total CPU Power :,24.776069503964568,11.960094133606113
Total CPU Power :,22.456152903041588,11.790700571064635
Total CPU Power :,15.484773852004034,11.492978154438113
Total CPU Power :,14.754392130533937,11.841335517184449
Total CPU Power :,14.532767357677066,11.65107629221979
Total CPU Power :,17.291716840339696,11.822083539059333
Total CPU Power :,23.485312551984357,11.883166795400976
Total CPU Power :,23.96085569651644,11.894321257756475
Total CPU Power :,24.823305168356935,11.88470841467996
Total CPU Power :,25.158927431423535,11.855168972048562
Total CPU Power :,19.505716141694105,11.665165580609962
Total CPU Power :,15.150201064463156,11.709434200641423
Total CPU Power :,14.76153157643821,11.483346810007891
Total CPU Power :,14.719764425678578,11.472493901793362
Total CPU Power :,20.831594697951687,11.856954244957704
Total CPU Power :,24.75496654688721,11.953042575782863
Total CPU Power :,23.74199327975984,12.035364049944295
Total CPU Power :,24.53023020795323,11.851870153534515
Total CPU Power :,24.546088337937285,11.720570333640175
Total CPU Power :,15.858785794775905,11.84735421992279
Total CPU Power :,15.180067772302031,11.533065480061055
Total CPU Power :,14.618153069975603,11.725716922486628
Total CPU Power :,15.374413304505318,11.716373201335406
Total CPU Power :,23.473116968719083,11.816560591057694
Total CPU Power :,24.351553892564155,11.63828988472003
Total CPU Power :,24.315861628930115,11.105654663463955
Total CPU Power :,24.801313779118534,11.702945409549717
Total CPU Power :,21.506017451612596,11.627491391480584
Total CPU Power :,15.50797007482425,11.504292936231916
Total CPU Power :,14.77645585774717,11.62750338391609
Total CPU Power :,14.73531623105787,11.867531529939448
Total CPU Power :,19.1828229122213,11.642716163491642
Total CPU Power :,23.674037280481464,11.61678967090969
Total CPU Power :,23.39090093806369,11.794485858075776
Total CPU Power :,24.735751210417643,11.634766733814219
Total CPU Power :,25.597293725969763,11.276292148248473
Total CPU Power :,17.513129775741596,12.164342055020684
Total CPU Power :,14.992318701280482,11.847704531328366
Total CPU Power :,14.762601979000532,11.726043296904074
Total CPU Power :,15.011053432682965,11.846677029485312
Total CPU Power :,21.814249007930837,11.804613867576837
Total CPU Power :,24.76395340923318,11.321739937025601
Total CPU Power :,23.95713991750916,12.024647798437213
Total CPU Power :,24.66510013181288,12.02633118234364
Total CPU Power :,23.00987012914203,11.817278580925127
Total CPU Power :,15.685262353662157,11.473002768369659
Total CPU Power :,15.02651374003737,11.631036085054479
Total CPU Power :,14.579135427717425,11.696423129077319
Total CPU Power :,16.016865256268662,11.89153604056929
Total CPU Power :,24.12610306043199,11.4988371177668
Total CPU Power :,23.83597238391788,11.523692572314237
Total CPU Power :,24.949785687970003,11.812554003415892
Total CPU Power :,24.69033250530559,11.494661825747668
Total CPU Power :,20.33561855049048,11.873019432048046
Total CPU Power :,15.045418877843106,11.809640533346055
Total CPU Power :,14.69567971541609,11.646169425574916
Total CPU Power :,14.64841575938617,11.80909386843443
Total CPU Power :,20.014988326025534,11.6579468562229
Total CPU Power :,24.451468792164103,11.390184034460551
Total CPU Power :,23.03906999112004,11.616834717083899
Total CPU Power :,24.48680413203742,11.794585612538253
Total CPU Power :,25.4971768884739,11.804475521289268
Total CPU Power :,16.256677397803692,11.639564402245698
Total CPU Power :,15.01752870486912,11.838209148557896
Total CPU Power :,14.862931095185868,11.628441522240578
Total CPU Power :,15.225244958937532,11.457908562074683
Total CPU Power :,22.55843593252182,12.781110998364559
