Total CPU Power,deleteArticle_power_results.gsheet,Sem rodar nada
Total CPU Power :,20.97973963065646,12.62330757858618
Total CPU Power :,23.94967528141086,11.902219704766173
Total CPU Power :,22.622519609603028,11.83360641640296
Total CPU Power :,24.732383299753554,11.956083234555791
Total CPU Power :,25.809275496981133,11.793305555590388
Total CPU Power :,25.39447139637511,11.909556255906947
Total CPU Power :,24.299666430383677,11.748308793333573
Total CPU Power :,22.709643119826225,11.457728515343668
Total CPU Power :,24.281587878154216,11.738701646281383
Total CPU Power :,25.437720718733452,11.919219090214034
Total CPU Power :,25.469648756803068,11.939575048259574
Total CPU Power :,24.4373534062965,11.95826642934077
Total CPU Power :,24.20954281136875,11.762161770689243
Total CPU Power :,24.565474700710148,11.914378435207055
Total CPU Power :,26.499027409809095,11.725163579555593
Total CPU Power :,24.09487096669439,11.741152307134138
Total CPU Power :,23.437483007709563,11.938931395379663
Total CPU Power :,24.80219114337992,11.888982034589409
Total CPU Power :,24.821219528673495,11.922446746432076
Total CPU Power :,26.684801501645886,11.819569892600727
Total CPU Power :,24.485995554392765,11.740169275766359
Total CPU Power :,22.726611106444796,11.934469354021392
Total CPU Power :,24.46984024294662,11.870938927301948
Total CPU Power :,25.342441499243556,11.262470235330085
Total CPU Power :,25.668901634210243,11.600307767281748
Total CPU Power :,24.65544517801575,11.439745197602663
Total CPU Power :,24.09034154290491,11.602852655746098
Total CPU Power :,24.817316104996852,11.546039077330743
Total CPU Power :,26.42056859390901,11.085118138987331
Total CPU Power :,24.133110160724666,11.629522835263495
Total CPU Power :,23.469154115161402,11.599351593540634
Total CPU Power :,24.70878322269194,11.596875611352788
Total CPU Power :,24.438886442991254,11.69224022634537
Total CPU Power :,26.819004281559966,11.788572022388351
Total CPU Power :,24.409747318540578,11.662129187044034
Total CPU Power :,22.6917979614713,11.450490164023218
Total CPU Power :,24.61538413112006,11.418908934430863
Total CPU Power :,25.128726941256815,11.450989452492292
Total CPU Power :,26.059916156982585,11.602905152032685
Total CPU Power :,24.629684707007613,11.75056808350359
Total CPU Power :,23.80364374972584,11.668458986384726
Total CPU Power :,24.70274409570746,11.073186595380875
Total CPU Power :,25.732973269274062,11.252499230753969
Total CPU Power :,24.429892226697756,11.773699235958023
Total CPU Power :,23.513359069230148,11.439131792750041
Total CPU Power :,24.61591619755157,11.470133368300813
Total CPU Power :,24.432183895835134,11.42668075150417
Total CPU Power :,27.264820134815405,11.469094629458455
