Total CPU Power,loadPageAndWait_power_results.csv,Sem rodar nada
Total CPU Power :,20.907439862590536,12.652886119640032
Total CPU Power :,24.113873002059922,11.593118263922094
Total CPU Power :,23.613069696472728,11.71350094319631
Total CPU Power :,24.625973444556784,11.762961262886224
Total CPU Power :,25.36093566180319,11.545079168250362
Total CPU Power :,16.68283066742843,11.397176206864021
Total CPU Power :,13.18814690865449,11.76727980573655
Total CPU Power :,13.200705192813828,11.54684499958621
Total CPU Power :,14.047404197055528,11.384235912924805
Total CPU Power :,13.592674351158951,11.959272825554558
Total CPU Power :,13.515428026913343,11.538694607463588
Total CPU Power :,13.518474631787944,11.534866699525224
Total CPU Power :,13.549413597536928,11.904928463072308
Total CPU Power :,13.628842182120396,11.750471916386948
Total CPU Power :,13.530567236604856,11.918048977302956
Total CPU Power :,13.54364093451726,11.96611085706208
Total CPU Power :,14.729372714320029,11.529393849066015
Total CPU Power :,13.926518252127858,11.876454858046744
Total CPU Power :,14.072010689937567,11.925616863199517
Total CPU Power :,13.472822311212786,11.859742303031927
Total CPU Power :,13.441672657999892,11.893051515245931
Total CPU Power :,13.529337488471262,11.735500393451836
Total CPU Power :,13.320850035346973,11.307400718041919
Total CPU Power :,13.383464669761583,11.772992552487224
Total CPU Power :,13.353794532681741,11.255688278416386
Total CPU Power :,13.948944055390603,11.453404040213776
Total CPU Power :,13.424955420061345,11.429212244394671
Total CPU Power :,13.395779446347408,11.476137505976906
Total CPU Power :,13.831122414763044,11.787617563068773
Total CPU Power :,13.37840814448004,11.459710153536264
Total CPU Power :,13.412402202231286,11.463813015023211
Total CPU Power :,13.450930692590108,11.425505877059932
Total CPU Power :,13.580003943443463,11.50594484180381
Total CPU Power :,16.477489171535673,11.269134091796817
Total CPU Power :,14.606370125002316,11.427118901412689
Total CPU Power :,17.474663704236885,11.470913374562848
Total CPU Power :,,11.595519484161507
Total CPU Power :,,11.260435204532708
Total CPU Power :,,11.606685283898713
Total CPU Power :,,11.459960125400908
Total CPU Power :,,11.256327815990856
Total CPU Power :,,11.598106114375057
Total CPU Power :,,11.424539117731928
Total CPU Power :,,11.09967390327682
Total CPU Power :,,11.299226090173176
Total CPU Power :,,11.340609414334898
Total CPU Power :,,11.2731981438941
Total CPU Power :,,11.07404903173678
Total CPU Power :,,11.270634809687886
Total CPU Power :,,11.087415026916458
Total CPU Power :,,11.433142051096171
Total CPU Power :,,11.602646984855767
Total CPU Power :,,11.07860745936192
Total CPU Power :,,11.915804758484823
