Total CPU Power,codeCarbon_time_log_20250315_120840.txt,Sem rodar nada
Total CPU Power :,23.62225959274952,12.652886119640032
Total CPU Power :,23.15782005951794,11.593118263922094
Total CPU Power :,24.649562936942406,11.71350094319631
Total CPU Power :,25.28008878959408,11.762961262886224
Total CPU Power :,29.238548409465775,11.545079168250362
Total CPU Power :,29.467150430565017,11.397176206864021
Total CPU Power :,27.510230029112094,11.76727980573655
Total CPU Power :,27.54143280707851,11.54684499958621
Total CPU Power :,25.08008105244011,11.384235912924805
Total CPU Power :,25.036680883711544,11.959272825554558
Total CPU Power :,24.266576575007747,11.538694607463588
Total CPU Power :,25.540892409758555,11.534866699525224
Total CPU Power :,24.442837449818207,11.904928463072308
Total CPU Power :,25.129018366416492,11.750471916386948
Total CPU Power :,24.490145580974794,11.918048977302956
Total CPU Power :,24.971111552146866,11.96611085706208
Total CPU Power :,23.372564000958484,11.529393849066015
Total CPU Power :,23.460853068694057,11.876454858046744
Total CPU Power :,24.73894395839922,11.925616863199517
Total CPU Power :,23.8113996365573,11.859742303031927
Total CPU Power :,23.999505495465318,11.893051515245931
Total CPU Power :,23.42066286128105,11.735500393451836
Total CPU Power :,24.198997824694857,11.307400718041919
Total CPU Power :,23.585492325834856,11.772992552487224
Total CPU Power :,24.22561550968294,11.255688278416386
Total CPU Power :,23.584216913649527,11.453404040213776
Total CPU Power :,24.204799591574492,11.429212244394671
Total CPU Power :,23.501739425685944,11.476137505976906
Total CPU Power :,24.18432406014083,11.787617563068773
Total CPU Power :,23.482024432258385,11.459710153536264
Total CPU Power :,22.712433753028968,11.463813015023211
Total CPU Power :,24.650460432960045,11.425505877059932
Total CPU Power :,23.495901098999017,11.50594484180381
Total CPU Power :,25.445327661162096,11.269134091796817
Total CPU Power :,23.0421442631415,11.427118901412689
Total CPU Power :,24.322087471433004,11.470913374562848
Total CPU Power :,23.913590814376764,11.595519484161507
Total CPU Power :,24.261057145453446,11.260435204532708
Total CPU Power :,22.972392595801985,11.606685283898713
Total CPU Power :,22.712089350794855,11.459960125400908
Total CPU Power :,,11.256327815990856
Total CPU Power :,,11.598106114375057
Total CPU Power :,,11.424539117731928
Total CPU Power :,,11.09967390327682
Total CPU Power :,,11.299226090173176
Total CPU Power :,,11.340609414334898
Total CPU Power :,,11.2731981438941
Total CPU Power :,,11.07404903173678
Total CPU Power :,,11.270634809687886
Total CPU Power :,,11.087415026916458
Total CPU Power :,,11.433142051096171
Total CPU Power :,,11.602646984855767
Total CPU Power :,,11.07860745936192
Total CPU Power :,,11.915804758484823
