Total CPU Power,codeCarbon_time_log_20250209_225027.txt,Sem rodar nada
Total CPU Power :,19.906561817196508,12.732993736217542
Total CPU Power :,25.22524796284856,11.894060634139676
Total CPU Power :,21.51039324748925,11.870286787744808
Total CPU Power :,23.835987412550733,11.885765405889128
Total CPU Power :,25.368105151340597,11.863102552236212
Total CPU Power :,21.487968831515044,11.564266077299854
Total CPU Power :,23.93566340826086,11.554853478438213
Total CPU Power :,23.073755345192367,11.576962403277953
Total CPU Power :,24.714133369929755,11.710807159711695
Total CPU Power :,25.241994371840676,11.707575144829864
Total CPU Power :,21.816888394997026,11.89024585294576
Total CPU Power :,24.639847381312542,11.887373347106948
Total CPU Power :,24.047076102864004,11.51581453477233
Total CPU Power :,24.67399080299666,11.913022515908667
Total CPU Power :,22.13873951972721,11.880707877835382
Total CPU Power :,23.516103940911663,11.583710535331901
Total CPU Power :,23.73546013739486,11.843343282081634
Total CPU Power :,24.61085994977043,11.754683619844029
Total CPU Power :,24.259950726522,11.871667063189403
Total CPU Power :,22.36975582191512,11.731145704814708
Total CPU Power :,24.323524071712573,11.388630500530224
Total CPU Power :,22.98011766555657,11.570299955582264
Total CPU Power :,24.6857268428029,11.515313557329918
Total CPU Power :,25.06448197862052,11.751804102552462
Total CPU Power :,21.4757592217671,11.76730194357383
Total CPU Power :,24.550506565575052,11.599713119256553
Total CPU Power :,23.828983654428864,11.396692291598566
Total CPU Power :,24.61140877015282,11.625458652102902
Total CPU Power :,21.857808027470483,11.745902673038177
Total CPU Power :,23.303273093116555,11.596133480158926
Total CPU Power :,23.80007591239878,11.581525115454303
Total CPU Power :,24.66294864200921,11.431697002067702
Total CPU Power :,24.444961229445358,11.514970093783706
Total CPU Power :,22.314768950610187,11.73717473436256
Total CPU Power :,24.12873094812313,11.417685154648247
Total CPU Power :,22.895832482574413,11.587785779929217
Total CPU Power :,24.69871983676815,11.439766691462797
Total CPU Power :,25.346926268697953,11.308123768029414
Total CPU Power :,21.883988717912015,11.571663966536114
Total CPU Power :,24.82063141703621,11.568572478221554
Total CPU Power :,23.95175739589886,11.762667843316901
Total CPU Power :,24.610329105966287,11.567611901072071
Total CPU Power :,22.30075562710827,11.579476637853736
Total CPU Power :,23.67628175666372,11.227387279775206
Total CPU Power :,23.674935436952882,11.407371519029029
Total CPU Power :,24.711745811253312,11.412681533548996
Total CPU Power :,24.28651081036253,11.604248630728469
Total CPU Power :,22.72379254645016,11.862715389943576
