Total CPU Power,loginAndUpdateProfile_power_results.gsheet,Sem rodar nada
Total CPU Power :,21.870975118439762,12.728139676875342
Total CPU Power :,26.45544705247271,11.764844632773283
Total CPU Power :,23.04806693439708,11.838284552574647
Total CPU Power :,24.360729443681613,11.758022232186411
Total CPU Power :,25.759433853181452,11.418037056647295
Total CPU Power :,19.583995460129806,11.845392302320937
Total CPU Power :,16.43557732872769,11.860352356757486
Total CPU Power :,24.366423435709052,11.7824548088299
Total CPU Power :,24.059242007097964,11.518996542782434
Total CPU Power :,25.32788560364424,11.953503951042336
Total CPU Power :,26.257011485294548,11.811453215010543
Total CPU Power :,19.951435851062442,11.833762827577887
Total CPU Power :,17.122330588121567,11.979393554989345
Total CPU Power :,24.35580315550316,11.789122732957372
Total CPU Power :,24.048351159955697,11.969301720510547
Total CPU Power :,25.205109988928868,11.485964721813492
Total CPU Power :,25.183505805093805,11.785554261787958
Total CPU Power :,20.04421907459745,11.766633261480179
Total CPU Power :,16.96796210542839,11.814771785828244
Total CPU Power :,24.691943640553877,11.944300631986538
Total CPU Power :,24.335621532778514,11.633619376175124
Total CPU Power :,25.37402507263253,11.68883443544772
Total CPU Power :,25.317166834982086,11.733119890723536
Total CPU Power :,19.88546356378598,11.701175970239648
Total CPU Power :,17.502022495102466,11.805973118155226
Total CPU Power :,24.36713871743381,11.78764562617307
Total CPU Power :,24.106968384688205,11.866625813667541
Total CPU Power :,25.23844468672017,11.668297675662338
Total CPU Power :,25.546027286290506,11.465925577765498
Total CPU Power :,19.525017169960826,11.644106525011725
Total CPU Power :,17.75066151344705,11.638510246841479
Total CPU Power :,24.337585424827658,11.441505340206325
Total CPU Power :,24.05023817641707,11.52730573186829
Total CPU Power :,25.292402805017012,12.188029721608855
Total CPU Power :,25.95965541151691,11.471876035732326
Total CPU Power :,18.97929052835337,11.815541535275884
Total CPU Power :,17.962372935353436,11.413785481169596
Total CPU Power :,24.773528788782436,11.686508493439947
Total CPU Power :,23.508497720367696,11.17993400481589
Total CPU Power :,25.33088969027432,11.826861123868513
Total CPU Power :,24.165635791086103,11.870553908590496
Total CPU Power :,19.51688657992428,11.296381517559217
Total CPU Power :,16.156726238003646,11.131422146881615
Total CPU Power :,24.345510077951126,11.458845423463499
Total CPU Power :,24.02467852748474,11.319097821745471
Total CPU Power :,25.408248225556505,11.003009064294767
Total CPU Power :,26.048318534253998,10.818463723203052
Total CPU Power :,19.731444782691007,11.666297008574718
Total CPU Power :,15.67321079826796,11.331617138231987
Total CPU Power :,24.17088561822707,11.468901414628002
Total CPU Power :,24.46980387872074,11.287833775990538
Total CPU Power :,25.519196877205847,11.670487820197259
Total CPU Power :,26.073242300528364,11.661329895892177
Total CPU Power :,20.188288538554172,11.672705489058474
Total CPU Power :,16.667683517816247,11.70056201056681
Total CPU Power :,24.193271109650144,11.094244910568028
Total CPU Power :,24.22330652794666,11.316354151251526
Total CPU Power :,25.573085985848174,11.610436048146807
Total CPU Power :,26.436976632190593,11.609000206631661
Total CPU Power :,20.250463081450768,11.446148353514422
Total CPU Power :,16.902272221513876,11.626231687540223
Total CPU Power :,24.6930324041588,12.069804616831917
