Total CPU Power,loginCreateAndDeleteArticle_power_results.gsheet,Sem rodar nada
Total CPU Power :,22.824947702775784,12.526283120155927
Total CPU Power :,24.817073726859746,11.938525998826302
Total CPU Power :,23.75863428689467,11.93777557568948
Total CPU Power :,23.72118892281394,11.991893872333273
Total CPU Power :,25.379104803605667,11.897992597372557
Total CPU Power :,19.614854526441956,11.934625051637813
Total CPU Power :,15.455062913031485,11.958545041064616
Total CPU Power :,15.129400593618866,11.937392691161417
Total CPU Power :,16.038412703846433,11.770022332872749
Total CPU Power :,16.467827939994358,11.940762168356162
Total CPU Power :,24.476227729408976,11.896655433362902
Total CPU Power :,25.184021687929505,11.764039842862593
Total CPU Power :,24.77214889603478,11.988572184280672
Total CPU Power :,25.406716666206865,11.62394702654117
Total CPU Power :,22.512829475578535,11.758046653972213
Total CPU Power :,16.679493374214783,11.807521518581023
Total CPU Power :,15.069478604348431,11.902648872737556
Total CPU Power :,14.93967459594493,11.948615803271789
Total CPU Power :,15.997194891660627,11.957001588148225
Total CPU Power :,21.744564229349002,11.87883804794715
Total CPU Power :,25.264334362556163,11.908227517999249
Total CPU Power :,24.23953385093108,11.955775793999084
Total CPU Power :,24.982391581324716,11.851891122666803
Total CPU Power :,24.03986471649003,11.787160759290767
Total CPU Power :,18.530703333332838,11.797757625317978
Total CPU Power :,15.251780950409435,11.785924127038028
Total CPU Power :,14.83323967204808,11.456161015582447
Total CPU Power :,15.51118300886167,11.733875447115095
Total CPU Power :,18.56399150897493,11.777864995086567
Total CPU Power :,24.04909098048974,11.807019733963925
Total CPU Power :,24.18344946765254,11.777010260514286
Total CPU Power :,25.38281964989895,11.268436930746601
Total CPU Power :,25.85800752892355,11.825310739472664
Total CPU Power :,20.164983020031336,11.81185916309438
Total CPU Power :,15.789779761927186,11.62791799979131
Total CPU Power :,14.935092375534486,11.62172185406983
Total CPU Power :,14.760935973829882,11.810152065704328
Total CPU Power :,16.66087461093282,11.636514847356656
Total CPU Power :,23.88844400489962,11.488068904082423
Total CPU Power :,25.373721958142475,11.103323067529056
Total CPU Power :,24.55715613700639,11.789282539036842
Total CPU Power :,25.31543692104536,11.106971765257406
Total CPU Power :,22.660147094769158,11.649452372121537
Total CPU Power :,17.015162200253407,11.646344313012628
Total CPU Power :,15.090820660277846,11.458436415613646
Total CPU Power :,14.976581631147416,11.447159880053848
Total CPU Power :,15.970206527586221,11.829150304505525
Total CPU Power :,21.47169442316646,11.497730869257516
Total CPU Power :,24.7367654126374,11.809549221450037
Total CPU Power :,23.80136646060289,11.607753973840863
Total CPU Power :,25.043984917021618,11.782350935605686
Total CPU Power :,25.426045055519545,11.420266893599704
Total CPU Power :,18.40545559516912,11.779674184195285
Total CPU Power :,15.309704227961754,11.775889191322797
Total CPU Power :,14.96753476087802,11.800355861311376
Total CPU Power :,15.259495505649598,11.790902766655034
Total CPU Power :,17.672669619462194,12.27569881279614
Total CPU Power :,24.29514626592948,11.887675201755822
Total CPU Power :,24.34606657254177,11.516437851508169
Total CPU Power :,25.29518569117744,11.615273695783804
Total CPU Power :,25.131937017169818,11.492937755928015
Total CPU Power :,21.693031210078498,11.599651723590409
Total CPU Power :,15.385405204653264,11.245851130162794
Total CPU Power :,15.001532085255898,11.780011075331403
Total CPU Power :,14.736291286244192,11.797818852769554
Total CPU Power :,16.54795369917404,11.439048420945833
Total CPU Power :,22.834278700770568,11.435099878391648
Total CPU Power :,25.202169721163443,11.454074618258845
Total CPU Power :,24.546076089622954,11.486132365543593
Total CPU Power :,25.362056820428435,11.420316118587577
Total CPU Power :,22.40070819173337,11.268951536103565
Total CPU Power :,18.26786661502811,11.26950343873938
Total CPU Power :,15.14679065153392,11.809823568278253
Total CPU Power :,15.281071394032615,11.644949577932236
Total CPU Power :,15.734713528951001,11.782274916081926
Total CPU Power :,20.61190109550828,11.799484265470072
Total CPU Power :,24.24216167402635,11.485432474423039
Total CPU Power :,23.96332894722065,11.627475391523927
Total CPU Power :,24.906795867397527,11.439970807031443
Total CPU Power :,25.776257868026253,10.748046752702196
Total CPU Power :,19.67473054133998,11.623089342455934
Total CPU Power :,15.49046290470862,11.27669758921742
Total CPU Power :,14.889869335814613,11.780247636429575
Total CPU Power :,15.032010385134296,11.443983176224801
Total CPU Power :,16.235527025017873,11.43953197251689
Total CPU Power :,24.238983939173526,11.778513399612153
Total CPU Power :,24.760511995271216,11.59861029238758
Total CPU Power :,24.678486475345274,11.693884583819814
Total CPU Power :,25.19027973935496,11.454630149701718
Total CPU Power :,22.51728413704046,11.765104853086594
Total CPU Power :,16.287862493702292,11.265369637113588
Total CPU Power :,15.043175282042354,11.257040248435077
Total CPU Power :,14.83820562165167,11.257370346169767
Total CPU Power :,16.059026242800652,11.429152681232736
Total CPU Power :,21.697733986528945,10.827431305135056
