Total CPU Power,loginCreateAndUpdateArticle_power_results.gsheet,Sem rodar nada
Total CPU Power :,21.08307265995932,12.56604331043862
Total CPU Power :,24.17245714896654,11.883877805370782
Total CPU Power :,22.214201907997854,11.706339399397278
Total CPU Power :,24.83285500156314,11.514290157478031
Total CPU Power :,25.934040420620015,11.908485882294125
Total CPU Power :,18.780001091220573,11.894542369433236
Total CPU Power :,13.385756934919883,11.677394249589948
Total CPU Power :,13.063534786437232,11.694421383740066
Total CPU Power :,13.367534395907631,12.372811771854023
Total CPU Power :,13.757804245548929,11.864599783707602
Total CPU Power :,13.966551949197056,11.718490555570197
Total CPU Power :,18.63954605853492,11.863029456232049
Total CPU Power :,17.665750513919253,11.879344723934798
Total CPU Power :,24.05190760878259,11.867755714142257
Total CPU Power :,23.164818882660686,11.885290512160863
Total CPU Power :,24.92240748676286,11.710538682492171
Total CPU Power :,24.830805849746667,11.347249171372548
Total CPU Power :,17.978395203349336,11.359295792478981
Total CPU Power :,13.23519481286478,11.8790063185339
Total CPU Power :,13.022280416205318,12.208221983265855
Total CPU Power :,12.909415735568842,11.716621214191813
Total CPU Power :,13.842282892012413,11.538205686734678
Total CPU Power :,14.013900833867758,11.486050137406101
Total CPU Power :,17.768126615908557,11.790849831862179
Total CPU Power :,19.809488279952337,11.501360729691825
Total CPU Power :,25.015554335907424,11.445157847736976
Total CPU Power :,22.378668033896492,11.455461732796724
Total CPU Power :,25.020849994772117,11.648420533896982
Total CPU Power :,23.37948114223709,11.625141410938692
Total CPU Power :,17.16379536749663,11.625071210290665
Total CPU Power :,13.155725774227983,11.612875454711723
Total CPU Power :,13.180880845624277,11.2719410988046
Total CPU Power :,13.13808576899036,11.492245795239102
Total CPU Power :,13.600425282351447,11.620054520965764
Total CPU Power :,16.98112418320657,11.640858888240066
Total CPU Power :,15.493047055331422,11.463866650101988
Total CPU Power :,22.173680062611883,11.623719816552304
Total CPU Power :,24.597943837112272,11.618940391257285
Total CPU Power :,24.226263902672375,11.43043114463426
Total CPU Power :,25.024249446843076,11.775906511470964
Total CPU Power :,20.85747509837021,11.818455282586735
Total CPU Power :,15.954755185670411,11.269997978975454
Total CPU Power :,13.009064654754253,11.617691521267423
Total CPU Power :,13.073938257737959,12.090149230654129
Total CPU Power :,13.484158864725014,11.811578371607665
Total CPU Power :,14.204279324951814,11.795099840073002
Total CPU Power :,18.42340364248203,11.621511584016842
Total CPU Power :,17.19927268268148,11.615848980676663
Total CPU Power :,23.88262221625256,11.6159191536058
Total CPU Power :,23.229652703101664,11.59969077372117
Total CPU Power :,24.824697327847833,11.445966397159014
Total CPU Power :,25.792077777729553,11.608705457085726
Total CPU Power :,18.650410546415106,11.43142983056359
Total CPU Power :,13.313724955510997,11.260284432583763
Total CPU Power :,12.94438433488936,11.103701013695668
Total CPU Power :,12.912084182426282,11.259333348949944
Total CPU Power :,13.726159999275493,11.08585674536465
Total CPU Power :,14.073388137624102,11.782006647925561
Total CPU Power :,18.22860474820115,11.780320658109412
Total CPU Power :,19.95043518193542,11.603446742654173
Total CPU Power :,24.94149928525875,11.257411233932022
Total CPU Power :,23.593466727060992,11.08761167337017
Total CPU Power :,24.85575717872699,11.595884976288241
Total CPU Power :,22.152930524842745,11.59974579463047
Total CPU Power :,16.749229489248602,11.110015735915713
Total CPU Power :,13.407902471969608,11.455408236247404
Total CPU Power :,12.957177356441983,11.28948317401356
Total CPU Power :,13.097575034908866,11.60577107079896
Total CPU Power :,13.757958066284534,10.911286974414748
Total CPU Power :,18.006799696253037,11.439307673374751
Total CPU Power :,15.514222531774623,10.942974510612032
Total CPU Power :,21.317008726109957,11.953976508209442
Total CPU Power :,24.444390095933567,11.436587850215592
Total CPU Power :,24.59622649227647,11.793263315391389
Total CPU Power :,25.060269712459135,10.77934157716008
Total CPU Power :,20.387789409678373,11.445752041774895
Total CPU Power :,14.457785840235609,11.290193865113258
Total CPU Power :,13.067663054952785,11.778430068958071
Total CPU Power :,12.914322872607192,11.66070070806872
Total CPU Power :,13.325451067260587,11.747497272196627
Total CPU Power :,13.56831910727497,11.655789126750332
Total CPU Power :,18.186304122445847,11.460886199220797
Total CPU Power :,16.137043920641226,11.43746901030277
Total CPU Power :,23.767813496735588,11.458619704703885
Total CPU Power :,23.26571877443305,11.453450145844359
Total CPU Power :,24.93362894793401,11.28691342470633
Total CPU Power :,26.0072099637755,11.59984093454582
Total CPU Power :,17.955585682921164,11.263723473902349
Total CPU Power :,13.606208702119632,11.106784879424444
Total CPU Power :,12.96105053149497,11.600882664687143
Total CPU Power :,13.541388999631568,11.260296308401443
Total CPU Power :,13.604918427554736,11.77179740531275
Total CPU Power :,13.874463571096573,11.436166309740043
Total CPU Power :,18.013195614863566,11.269642609518748
Total CPU Power :,20.17324809014673,11.622683455545722
Total CPU Power :,24.904220659809543,11.452238847545061
Total CPU Power :,23.149071995273395,11.443980387939602
Total CPU Power :,24.994776340085885,11.612289137206316
Total CPU Power :,22.494020890478645,11.603762331998402
Total CPU Power :,16.39638482639988,11.600164647686693
Total CPU Power :,13.139517076818924,11.641819410070983
Total CPU Power :,13.141001388606298,10.746804507676512
Total CPU Power :,13.252220132546631,11.618253578751897
Total CPU Power :,13.949476328396988,11.274148788118127
Total CPU Power :,18.24516842819236,11.28929982900322
Total CPU Power :,15.397570050513735,10.9247203303211
Total CPU Power :,21.66810582054753,11.426815532944495
Total CPU Power :,24.311654953048645,10.94994832068112
Total CPU Power :,24.152611539749042,11.25508473881619
Total CPU Power :,25.205389371954507,11.437484662269608
Total CPU Power :,20.451902095871215,10.917036253066739
Total CPU Power :,14.534749918766765,10.747705174789816
Total CPU Power :,13.092948139937402,11.632641064172516
Total CPU Power :,12.985939361407842,11.430320309013233
Total CPU Power :,13.525405724275789,11.635005265393971
Total CPU Power :,14.139348879737055,11.60376495783418
Total CPU Power :,17.620565656035456,11.266954057626737
Total CPU Power :,16.852934074458645,11.438808357139154
Total CPU Power :,18.80842163102877,12.101070377784557
