Total CPU Power,loginFiltertagAndComment_power_results.gsheet,Sem rodar nada
Total CPU Power :,21.113641229681143,12.660494336961099
Total CPU Power :,24.187356335198427,11.585566861823256
Total CPU Power :,23.382835351660333,11.733301361105045
Total CPU Power :,24.16640193949569,11.591485361036826
Total CPU Power :,26.582420123967864,11.890124281288513
Total CPU Power :,20.09016017274901,11.887119358959714
Total CPU Power :,23.883708217428314,11.902124007043206
Total CPU Power :,24.848122526887817,11.876440560158246
Total CPU Power :,23.782125113448668,11.918786074298781
Total CPU Power :,24.726729792482203,11.900343095607049
Total CPU Power :,23.66583096042059,11.197109185978116
Total CPU Power :,20.918160270501453,11.860576034607645
Total CPU Power :,23.870784622689772,11.77211253941032
Total CPU Power :,24.87119722333212,11.529480032930813
Total CPU Power :,24.43249415238915,11.719688720454037
Total CPU Power :,24.932882454390416,11.897219427289162
Total CPU Power :,22.215980539158124,11.89926190513718
Total CPU Power :,22.304085917446233,11.356716838037864
Total CPU Power :,24.0774558981938,11.601909477927201
Total CPU Power :,23.87174066144546,11.712242694065887
Total CPU Power :,24.934645293807687,11.885378303372747
Total CPU Power :,25.20415573199476,11.896298685863508
Total CPU Power :,20.45065739091183,11.852270864307153
Total CPU Power :,23.46141178717722,11.577451694094297
Total CPU Power :,23.917981531177375,11.823624883894286
Total CPU Power :,23.470855508831626,11.734036348546946
Total CPU Power :,25.01688395854798,11.587864079400584
Total CPU Power :,25.221396305066488,11.82514584612369
Total CPU Power :,21.347708399343702,11.793882498950767
Total CPU Power :,23.28711302892024,11.827747800438729
Total CPU Power :,24.743924551733837,11.430216079901289
Total CPU Power :,24.051042825297678,11.783470916793508
Total CPU Power :,24.90278759587611,11.626129876614275
Total CPU Power :,22.318398678070306,11.602748223845634
Total CPU Power :,21.137074849791045,11.586583586820677
Total CPU Power :,23.742541475615752,11.24316127352256
Total CPU Power :,24.761597214575854,11.603155326596834
Total CPU Power :,24.100323295463422,11.775586640644006
Total CPU Power :,24.919336340916903,11.44450358566206
Total CPU Power :,22.27735397384634,11.761725451353602
Total CPU Power :,22.509736549571915,11.7699970823205
Total CPU Power :,24.6971640012125,11.598736045050458
Total CPU Power :,23.862635658294966,11.289054849610501
Total CPU Power :,25.034975214166607,11.7599731772608
Total CPU Power :,24.844755319582852,11.619290626699208
Total CPU Power :,21.136866983526346,11.579606073770991
Total CPU Power :,24.21403944899413,11.257912588326922
Total CPU Power :,23.91255050648234,11.585697292470492
Total CPU Power :,23.483123028240378,11.626797405937154
Total CPU Power :,24.78979430264904,11.071466538423765
Total CPU Power :,25.440566367048294,11.406459721144103
Total CPU Power :,21.331395322902907,11.59803141320041
Total CPU Power :,23.311077491805058,11.405936469587807
Total CPU Power :,24.822501491590447,11.598088602390085
Total CPU Power :,23.947806689489546,11.445546868739342
Total CPU Power :,24.699524946037965,11.594438502792284
Total CPU Power :,22.843579323079975,11.781004043229215
Total CPU Power :,21.912647599362796,11.46184064312475
Total CPU Power :,25.19668688725896,11.863218407150066
