Total CPU Power,logout_power_results.gsheet,Sem rodar nada
Total CPU Power :,20.602623008052678,12.394108146080017
Total CPU Power :,23.663573753952566,11.771587212096643
Total CPU Power :,21.787647972586324,11.642054327132511
Total CPU Power :,23.636498374984786,11.787692206877784
Total CPU Power :,25.648939015366903,11.576638263886213
Total CPU Power :,21.93442298995258,11.580669397162183
Total CPU Power :,24.829942382940875,11.783017802065292
Total CPU Power :,23.23702337876906,11.595252911938603
Total CPU Power :,24.770328249217897,11.592189934666022
Total CPU Power :,22.241551796584822,11.772368809745243
Total CPU Power :,23.939986328728036,11.41980126989173
Total CPU Power :,23.0009078013686,11.417423287057217
Total CPU Power :,24.91893559685082,11.76207645833047
Total CPU Power :,25.248889882386564,11.757805764733687
Total CPU Power :,22.196793071939943,11.752552643592898
Total CPU Power :,24.626835024353532,11.760170112530528
Total CPU Power :,23.555419032863934,11.789868632130009
Total CPU Power :,24.780492888730006,11.789823069383337
Total CPU Power :,22.638301308117143,11.438558073264403
Total CPU Power :,23.996236291285594,11.439242246033988
Total CPU Power :,23.781054765515186,11.757810334905368
Total CPU Power :,24.791317002807386,11.766196901100667
Total CPU Power :,24.68549179269344,11.419168918217617
Total CPU Power :,23.208462924845698,12.072571590386385
Total CPU Power :,24.49077278250263,11.707228527173964
Total CPU Power :,22.608447959650572,11.69372361719494
Total CPU Power :,24.805666396498943,11.52595905664856
Total CPU Power :,25.13997743940156,11.737208897910246
Total CPU Power :,22.141906606681342,11.516408569432778
Total CPU Power :,24.046688842351998,11.69631065972009
Total CPU Power :,24.039997602709256,11.684378395765009
Total CPU Power :,24.613013720316538,11.168821067434816
Total CPU Power :,22.790689188775517,11.558040210215859
Total CPU Power :,23.824357889084073,11.719555759587104
Total CPU Power :,22.550879508813654,11.527311445073455
Total CPU Power :,24.63578022635593,11.787315812472105
Total CPU Power :,25.373277482640077,11.840884957648575
Total CPU Power :,19.68810077468725,11.722976802427148
Total CPU Power :,24.426209460052807,11.73514906113353
Total CPU Power :,22.75326320406552,11.690309448708845
Total CPU Power :,24.693335032557307,11.532777623588235
Total CPU Power :,25.067300348501842,11.554809606291325
Total CPU Power :,22.006369992512806,11.735828548789689
Total CPU Power :,24.37535682214475,11.691196209450027
Total CPU Power :,24.159017162056706,11.51706118180489
Total CPU Power :,24.873544733161918,11.343356736867396
Total CPU Power :,22.413831885060596,11.523453821510696
Total CPU Power :,13.97479480970916,11.808260666085745
