Total CPU Power,codeCarbon_time_log_20250209_232357.txt,Sem rodar nada
Total CPU Power :,20.10655773554419,12.623139496366953
Total CPU Power :,24.32867005123529,12.324883855012514
Total CPU Power :,21.442384441392264,12.044962118427373
Total CPU Power :,23.712940477251852,11.870065030731322
Total CPU Power :,25.748338450064956,11.696107785185188
Total CPU Power :,18.618488155932315,11.859752505109174
Total CPU Power :,22.148243535218946,11.92504318164562
Total CPU Power :,24.35722608648787,11.98405246188914
Total CPU Power :,23.00297060284891,11.638592172225351
Total CPU Power :,24.436244444878476,11.713643541367754
Total CPU Power :,24.54141095882153,11.837541359630206
Total CPU Power :,17.751587406510158,11.703232677571556
Total CPU Power :,21.300799039263627,11.942711180203329
Total CPU Power :,24.67311020652943,11.919071240827718
Total CPU Power :,23.790860239554327,11.729325082333048
Total CPU Power :,24.70836290988603,11.89317472154605
Total CPU Power :,21.751873148470498,11.868635188278294
Total CPU Power :,17.46017076397301,11.666601284259219
Total CPU Power :,23.586330789043267,11.739779000768467
Total CPU Power :,23.807846763306152,11.547018092459993
Total CPU Power :,24.55839489574202,11.857279342385523
Total CPU Power :,24.262018505963507,11.674624871551494
Total CPU Power :,19.720469559158644,11.875805344484759
Total CPU Power :,19.467306414337255,11.384417593556389
Total CPU Power :,23.469400904521724,11.550550681021859
Total CPU Power :,23.457998641200035,11.778779368582738
Total CPU Power :,24.615044350431152,11.390801355196698
Total CPU Power :,25.529355391718326,11.409942936439224
Total CPU Power :,19.263204607046568,11.60194943544035
Total CPU Power :,19.84210709978273,11.375637172160578
Total CPU Power :,24.366000339034553,11.54711506382523
Total CPU Power :,23.150417212253167,11.623425880169277
Total CPU Power :,24.5101194008099,11.452041550302395
Total CPU Power :,24.344704211621128,11.030482602863716
Total CPU Power :,17.62245638762019,11.388126356673412
Total CPU Power :,21.533667547732687,11.372557988452312
Total CPU Power :,24.642727420044796,11.222502081207374
Total CPU Power :,23.7278596759277,11.200430327547794
Total CPU Power :,24.574756810803024,11.802810913238067
Total CPU Power :,21.53501537891355,11.550023256719454
Total CPU Power :,17.78049414129339,10.869623089315162
Total CPU Power :,23.421077055189784,11.74825019695883
Total CPU Power :,23.57012865798058,11.548909463899276
Total CPU Power :,24.67956958872516,11.586345142542294
Total CPU Power :,24.240718097149056,11.389753724848337
Total CPU Power :,20.179849059987838,11.702359925596607
Total CPU Power :,19.704203292989327,11.218418791946913
Total CPU Power :,23.61426659335761,11.362349425817065
Total CPU Power :,23.35152407679049,10.719097926690177
Total CPU Power :,24.609730626180312,11.237252409703387
Total CPU Power :,25.290446801260135,11.396584472416862
Total CPU Power :,18.353095641420484,11.5647321971743
Total CPU Power :,20.274239640775413,11.534570417252482
Total CPU Power :,24.661511433731583,11.399401185647251
Total CPU Power :,23.561149846007766,11.733716208473334
Total CPU Power :,24.57312715440437,11.634844572048568
Total CPU Power :,23.095636278209884,12.038991982596649
Total CPU Power :,17.321737633704004,11.923270401813015
Total CPU Power :,21.848612305121176,11.93160093535849
