Total CPU Power,codeCarbon_time_log_20250210_230225.txt,Sem rodar nada
Total CPU Power :,19.436066776691113,12.106630271846509
Total CPU Power :,24.04771396460234,11.59010374412118
Total CPU Power :,20.004004203707666,11.79711312532276
Total CPU Power :,24.097614355520946,11.75957450149169
Total CPU Power :,25.133333586020598,11.844018328557864
Total CPU Power :,19.091892266473543,11.940354893490563
Total CPU Power :,18.930288763960778,11.432759242966673
Total CPU Power :,24.790160080645965,11.73656616643067
Total CPU Power :,23.669366414552503,11.7359685394696
Total CPU Power :,24.844526711654176,11.794693701885343
Total CPU Power :,24.087032356089168,11.574422330620889
Total CPU Power :,15.306293800862427,11.920313417266298
Total CPU Power :,23.581124526512298,11.846249075281127
Total CPU Power :,23.39411895266154,11.062072789306699
Total CPU Power :,24.56237627324855,11.747809864493588
Total CPU Power :,25.336547915706046,11.819930377030705
Total CPU Power :,18.155445498805108,11.475968408885214
Total CPU Power :,20.837754505010533,11.616512780677564
Total CPU Power :,24.725209755506295,12.004522505607582
Total CPU Power :,22.940495934449622,11.53865979474737
Total CPU Power :,24.789629696656426,11.758378437415711
Total CPU Power :,23.145939196045312,12.002388626492364
Total CPU Power :,16.233670489091597,12.019932300297782
Total CPU Power :,23.804187478166416,11.338360348431062
Total CPU Power :,22.980373946421167,11.350964624407583
Total CPU Power :,24.88246892839297,11.208567803253194
Total CPU Power :,25.80071495499562,11.494527767923067
Total CPU Power :,16.966596986751423,11.702743235589681
Total CPU Power :,20.962154590330247,11.684197495604755
Total CPU Power :,24.334549057855636,11.676063476191729
Total CPU Power :,23.79281348724575,11.341556045545683
Total CPU Power :,24.78599768134455,11.153739218327491
Total CPU Power :,22.170570799737625,11.54396396192085
Total CPU Power :,17.005209296153126,11.526086045093729
Total CPU Power :,24.3904869405093,11.689500927995914
Total CPU Power :,22.426753431463997,11.530092393848587
Total CPU Power :,24.72617850952408,11.669129230600424
Total CPU Power :,25.543016141161736,11.666902028776585
Total CPU Power :,14.90377646721797,11.674427166994295
Total CPU Power :,22.88434712009554,11.70839036059107
Total CPU Power :,24.196561747682388,11.671253110898787
Total CPU Power :,24.115429841333338,11.667440119707901
Total CPU Power :,24.792163870455514,11.665563470343132
Total CPU Power :,21.162806815205226,11.327555752786635
Total CPU Power :,18.661702489783334,11.669694058205081
Total CPU Power :,24.629898451874684,11.364966873313625
Total CPU Power :,22.709731654250653,11.936298249314458
Total CPU Power :,24.69505797911609,11.83215910843805
Total CPU Power :,25.895063960215285,11.336642468777978
Total CPU Power :,14.691442502649624,11.68038345898777
Total CPU Power :,23.227710194513374,11.663741949870637
Total CPU Power :,22.8022368226177,11.560634686125285
Total CPU Power :,24.133575409797743,11.745643599513226
Total CPU Power :,24.678742671390935,11.345778849189019
Total CPU Power :,20.638434124775838,11.324157009815933
Total CPU Power :,17.7233410964707,11.674525992169388
