Total CPU Power,codeCarbon_time_log_20250210_225045.txt,Sem rodar nada
Total CPU Power :,18.768551801518026,12.282573104097033
Total CPU Power :,23.7117640253468,11.756990053778704
Total CPU Power :,19.89834485246124,11.750237156233334
Total CPU Power :,25.35362836643127,11.777641237425222
Total CPU Power :,24.80529388811038,11.58077742006412
Total CPU Power :,19.026993553314767,11.769223946176766
Total CPU Power :,16.78382170486665,11.42426743380916
Total CPU Power :,24.598814846758,11.770552504042366
Total CPU Power :,23.217271643680757,11.7697883329305
Total CPU Power :,24.53499717051476,11.78076749136423
Total CPU Power :,23.392635191407614,11.574567582144958
Total CPU Power :,14.612948557953958,11.740384472957977
Total CPU Power :,20.760318149597712,11.641654682725445
Total CPU Power :,24.07759108478638,11.752133061901398
Total CPU Power :,23.8241676302856,11.740649676509106
Total CPU Power :,24.405497030005904,11.789322888938782
Total CPU Power :,20.624739657840937,11.763954138778885
Total CPU Power :,16.26765666794281,11.58149284302197
Total CPU Power :,24.247898901677335,11.768214011364869
Total CPU Power :,22.803113733620133,11.750187173582473
Total CPU Power :,24.333076398178765,11.73642714161003
Total CPU Power :,25.27767191242578,11.586045161161678
Total CPU Power :,14.057828103290895,11.739202507137126
Total CPU Power :,21.31444212318017,11.703326592701591
Total CPU Power :,23.83187230506043,11.710906691978709
Total CPU Power :,24.181103895694612,11.548100336099983
Total CPU Power :,24.51947017272833,11.514166928776527
Total CPU Power :,19.559709249055754,11.368033488407018
Total CPU Power :,16.952875301056093,11.525379119890223
Total CPU Power :,24.205757708439688,11.517968555857294
Total CPU Power :,22.94144871234846,11.527720485598747
Total CPU Power :,24.4091536356322,11.343910084175054
Total CPU Power :,24.378674925060633,11.730120750594814
Total CPU Power :,13.45870370279121,11.68109756995502
Total CPU Power :,21.988548405514862,11.685777056823067
Total CPU Power :,23.447515395586443,11.358782321361554
Total CPU Power :,24.67119973974229,11.339838770248845
Total CPU Power :,24.352883731700302,11.712133085190487
Total CPU Power :,19.256454758280167,11.683905000886023
Total CPU Power :,17.366112328051223,11.182302058941056
Total CPU Power :,24.813912174434883,11.693066836168859
Total CPU Power :,23.05509487110815,11.519735254790904
Total CPU Power :,24.439231080970238,11.720098244740434
Total CPU Power :,24.109398408321294,11.69547124755331
Total CPU Power :,13.416291453633512,11.682350462048007
Total CPU Power :,22.599572801693604,11.69742024692161
Total CPU Power :,23.00229842272704,11.349552554558697
Total CPU Power :,24.567736552572022,11.508008866700578
Total CPU Power :,24.350972640133396,11.33444042745405
Total CPU Power :,18.90107728028566,11.502742902919028
Total CPU Power :,17.401531852532674,11.329670151234573
Total CPU Power :,24.506627659432237,11.678591164262286
Total CPU Power :,22.470227774252393,11.685585463826378
Total CPU Power :,24.487376874937695,11.160256566976992
Total CPU Power :,23.899053082444293,11.333158487075863
Total CPU Power :,13.281942212583385,11.359255221192077
Total CPU Power :,21.5146178929563,9.020358930985019
